timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
133179.92440404167, -0.9576568603515625, 0.0005950927734375, -0.0100250244140625, -0.2509597837924957, 0.031086280941963196, -0.019340408965945244
133179.93446704166, -0.96630859375, 0.002227783203125, -0.0228729248046875, -0.27201154828071594, 0.06476008892059326, -0.01618962176144123
133179.94453004168, -0.9678192138671875, -0.009674072265625, -0.0279083251953125, -0.24836720526218414, 0.10692937672138214, -0.011831625364720821
133179.95459304168, -0.9619598388671875, -0.0175018310546875, -0.0141754150390625, -0.235734760761261, 0.1348680704832077, -0.004375040996819735
133179.96465704168, -0.9535064697265625, -0.02044677734375, 0.0064849853515625, -0.2378288060426712, 0.14569754898548126, 0.009493104182183743
133179.97472004168, -0.9527130126953125, -0.0193023681640625, 0.0202484130859375, -0.23499760031700134, 0.1347961574792862, 0.013047092594206333
133179.98478304167, -0.9596099853515625, -0.0180816650390625, 0.0151824951171875, -0.2061140239238739, 0.13250717520713806, 0.01468493603169918
133179.99484604166, -0.9570770263671875, -0.0149078369140625, 0.009552001953125, -0.1674550473690033, 0.13284380733966827, 0.020490894094109535
133180.0049090417, -0.9530792236328125, -0.0151519775390625, 0.0127105712890625, -0.1384793221950531, 0.14648903906345367, 0.02533465065062046
133180.01497204168, -0.9516754150390625, -0.0105438232421875, 0.0031280517578125, -0.11079388856887817, 0.18035805225372314, 0.02852591685950756
133180.02503504168, -0.9494476318359375, 0.0012969970703125, -0.0058441162109375, -0.07600528746843338, 0.21547210216522217, 0.02636556141078472
133180.03509804167, -0.954742431640625, -0.001129150390625, 0.0008697509765625, -0.05086477845907211, 0.22099868953227997, 0.016332900151610374
133180.04516104166, -0.9607391357421875, -0.01031494140625, 0.01556396484375, -0.03425304591655731, 0.19069138169288635, 0.011908324435353279
133180.0552240417, -0.963714599609375, -0.009765625, 0.020843505859375, -0.0071178306825459, 0.14421549439430237, -0.0022833943367004395
133180.06528704168, -0.9655609130859375, -0.011627197265625, 0.0164337158203125, 0.0083687175065279, 0.1358529031276703, -0.011452924460172653
133180.07535004168, -0.9653472900390625, -0.007354736328125, 0.0122833251953125, 0.01642877422273159, 0.141534224152565, -0.020722854882478714
133180.08541404168, -0.96746826171875, -7.62939453125e-05, 0.022979736328125, 0.015006912872195244, 0.12815050780773163, -0.025001756846904755
133180.09547704167, -0.97021484375, 0.0026702880859375, 0.0326385498046875, -0.008326639421284199, 0.13351865112781525, -0.02989957481622696
133180.10554004167, -0.9625701904296875, 0.0111236572265625, 0.0206451416015625, -0.043779972940683365, 0.1704399138689041, -0.03188017010688782
133180.11560304166, -0.9672698974609375, 0.0138092041015625, 0.003509521484375, -0.062488678842782974, 0.16178223490715027, -0.0341063030064106
133180.12566604168, -0.9739532470703125, 0.0071258544921875, 0.01123046875, -0.06030594930052757, 0.0915680006146431, -0.04223879799246788
133180.13572904168, -0.9852294921875, -0.006103515625, 0.015533447265625, -0.04639892280101776, 0.03917563334107399, -0.05347627401351929
133180.14579204167, -0.9826812744140625, -0.0038909912109375, 0.0088348388671875, -0.057681936770677567, 0.020963072776794434, -0.056233178824186325
133180.15585504167, -0.9708404541015625, 0.0003204345703125, 0.0059661865234375, -0.06673002988100052, 0.03255687654018402, -0.052933257073163986
133180.16591804166, -0.974639892578125, -0.002471923828125, -0.011016845703125, -0.0676400288939476, 0.04959285259246826, -0.050094060599803925
133180.17598104168, -0.9830474853515625, -0.0061492919921875, -0.0174102783203125, -0.057018280029296875, 0.07039506733417511, -0.042451586574316025
133180.18604404168, -0.9756317138671875, -0.005828857421875, -0.0252532958984375, -0.041603900492191315, 0.13209651410579681, -0.026324814185500145
133180.19610704167, -0.96185302734375, -0.00396728515625, -0.03955078125, -0.023908793926239014, 0.19087061285972595, -0.019631758332252502
133180.20617104167, -0.959442138671875, -0.012451171875, -0.03240966796875, 0.0025241440162062645, 0.2096051573753357, -0.01816568709909916
133180.21623404167, -0.956268310546875, -0.0276947021484375, -0.0185699462890625, 0.02731471136212349, 0.21410590410232544, -0.010185792110860348
133180.22629704166, -0.951416015625, -0.0306396484375, -0.0091552734375, 0.04441513493657112, 0.22346743941307068, -0.0057409764267504215
133180.2363600417, -0.9516143798828125, -0.030487060546875, -0.003387451171875, 0.03862116113305092, 0.22027058899402618, -0.006190517917275429
133180.24642304168, -0.94293212890625, -0.02313232421875, 0.006072998046875, 0.02171674743294716, 0.20945069193840027, -0.010433998890221119
133180.25648604168, -0.9390106201171875, -0.021881103515625, -0.0062255859375, 0.018457837402820587, 0.20742802321910858, -0.021863220259547234
133180.26654904167, -0.9336395263671875, -0.0185394287109375, -0.02435302734375, 0.02894616313278675, 0.19989101588726044, -0.03213183581829071
133180.27661204166, -0.9389495849609375, -0.016265869140625, -0.037872314453125, 0.024381505325436592, 0.20189078152179718, -0.05116971209645271
133180.2866750417, -0.94287109375, -0.02484130859375, -0.041778564453125, 0.008773517794907093, 0.2146928608417511, -0.06241597235202789
133180.29673804168, -0.9370880126953125, -0.0287017822265625, -0.0475006103515625, -0.021220866590738297, 0.22615857422351837, -0.07057935744524002
133180.30680104168, -0.92779541015625, -0.02374267578125, -0.0526275634765625, -0.06198214367032051, 0.2103939801454544, -0.0676131322979927
133180.31686504168, -0.930023193359375, -0.026611328125, -0.0479888916015625, -0.1161966472864151, 0.14050358533859253, -0.07083182781934738
133180.32692804167, -0.9416046142578125, -0.0194854736328125, -0.0496826171875, -0.1781071573495865, 0.03419818356633186, -0.06952554732561111
133180.33699104167, -0.94866943359375, -0.0042877197265625, -0.06646728515625, -0.2503613829612732, -0.060858290642499924, -0.06756466627120972
133180.3470540417, -0.9677886962890625, -0.002532958984375, -0.09442138671875, -0.2972676455974579, -0.13198892772197723, -0.07161959260702133
133180.35711704168, -0.9894256591796875, 0.0099639892578125, -0.12384033203125, -0.3491068482398987, -0.17983794212341309, -0.06504131853580475
133180.36718004168, -1.0046234130859375, 0.0243072509765625, -0.153045654296875, -0.38675063848495483, -0.20131553709506989, -0.06311185657978058
133180.37724304167, -1.0170440673828125, 0.02496337890625, -0.1942596435546875, -0.4191133677959442, -0.1925971508026123, -0.05438521131873131
133180.38730604167, -1.0201873779296875, 0.0453643798828125, -0.23077392578125, -0.43590274453163147, -0.17173847556114197, -0.04421859234571457
133180.39736904166, -1.042327880859375, 0.0411376953125, -0.270599365234375, -0.4373858571052551, -0.14121465384960175, -0.040100280195474625
133180.40743204168, -1.058074951171875, 0.0494842529296875, -0.306549072265625, -0.4417515695095062, -0.14461976289749146, -0.03079839237034321
133180.41749504168, -1.0684814453125, 0.0747833251953125, -0.32635498046875, -0.4448493719100952, -0.15033064782619476, -0.043117910623550415
133180.42755804167, -1.0958099365234375, 0.0633697509765625, -0.3347625732421875, -0.4407603442668915, -0.17708450555801392, -0.06252383440732956
133180.43762204167, -1.1175384521484375, 0.0583343505859375, -0.3154449462890625, -0.42164257168769836, -0.1947907954454422, -0.07257433235645294
133180.44768504167, -1.143218994140625, 0.0511016845703125, -0.30206298828125, -0.38401344418525696, -0.20377017557621002, -0.07463082671165466
133180.45774804166, -1.16339111328125, 0.0482635498046875, -0.3034515380859375, -0.33161282539367676, -0.16712027788162231, -0.047626107931137085
133180.4678110417, -1.1654052734375, 0.066650390625, -0.350677490234375, -0.25301069021224976, -0.0754271149635315, -0.018447184935212135
133180.47787404168, -1.17486572265625, 0.07818603515625, -0.4224090576171875, -0.15447533130645752, 0.04621463268995285, -0.0046331011690199375
133180.48793704167, -1.195098876953125, 0.0872344970703125, -0.4640045166015625, -0.03277818486094475, 0.15592142939567566, -0.009921340271830559
133180.49800004167, -1.215423583984375, 0.088409423828125, -0.473388671875, 0.07141532748937607, 0.2433529943227768, -0.02707396261394024
133180.50806304166, -1.21478271484375, 0.1029205322265625, -0.4614410400390625, 0.13361132144927979, 0.2837672829627991, -0.04363775998353958
133180.5181260417, -1.2137451171875, 0.11187744140625, -0.442901611328125, 0.16608750820159912, 0.30508533120155334, -0.055562060326337814
133180.52818904168, -1.2176513671875, 0.111572265625, -0.4188232421875, 0.17793990671634674, 0.31115201115608215, -0.05188636854290962
133180.53825204168, -1.205169677734375, 0.116058349609375, -0.39208984375, 0.17091955244541168, 0.32127735018730164, -0.03513721376657486
133180.54831604168, -1.195220947265625, 0.113555908203125, -0.369384765625, 0.13651762902736664, 0.32335036993026733, -0.018994996324181557
133180.55837904167, -1.209197998046875, 0.1122283935546875, -0.352447509765625, 0.09909942001104355, 0.29639729857444763, -0.01878434047102928
133180.56844204167, -1.2197723388671875, 0.1114501953125, -0.3524322509765625, 0.0510176457464695, 0.24977068603038788, -0.0032226911280304193
133180.5785050417, -1.2137908935546875, 0.1218109130859375, -0.3729400634765625, 0.0028823392931371927, 0.24401266872882843, 0.006880809087306261
133180.58856804168, -1.2400054931640625, 0.126434326171875, -0.400909423828125, -0.00917645450681448, 0.2539566457271576, 0.0029995182994753122
133180.59863104168, -1.2619476318359375, 0.124908447265625, -0.4082183837890625, -0.003819771809503436, 0.25049853324890137, -0.004505536053329706
133180.60869404167, -1.2602386474609375, 0.1310272216796875, -0.3928375244140625, -0.00914236530661583, 0.23294110596179962, -0.017558487132191658
133180.61875704167, -1.250762939453125, 0.1413726806640625, -0.3777618408203125, -0.025404691696166992, 0.22335904836654663, -0.02719833143055439
133180.62882004166, -1.2301177978515625, 0.1506805419921875, -0.361083984375, -0.05507124215364456, 0.23826903104782104, -0.016575515270233154
133180.63888304168, -1.215606689453125, 0.155059814453125, -0.3365936279296875, -0.09166387468576431, 0.23907223343849182, 0.004259992390871048
133180.6489470417, -1.2146148681640625, 0.1451416015625, -0.309906005859375, -0.13485528528690338, 0.22101813554763794, 0.031145935878157616
133180.65901004168, -1.215301513671875, 0.1461029052734375, -0.286529541015625, -0.19814904034137726, 0.18208032846450806, 0.05121338739991188
133180.66907304167, -1.2109527587890625, 0.15283203125, -0.282257080078125, -0.26337093114852905, 0.1274612843990326, 0.05789259448647499
133180.67913604167, -1.212860107421875, 0.148773193359375, -0.2914581298828125, -0.29624977707862854, 0.08230259269475937, 0.058940812945365906
133180.68919904166, -1.2218780517578125, 0.140045166015625, -0.3057708740234375, -0.31101512908935547, 0.06493852287530899, 0.044681716710329056
133180.6992620417, -1.2206268310546875, 0.1370849609375, -0.3148651123046875, -0.3114013075828552, 0.0722488984465599, 0.022541528567671776
133180.70932504168, -1.21514892578125, 0.133331298828125, -0.316314697265625, -0.30550798773765564, 0.08223788440227509, -0.001606418751180172
