timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
133179.758319625, 000056, 0.19829473, 0.24960397, 0.20940207, 0.59195876, -0.02858627, 0.80478704, 0.032944784, 1437.2174, 1437.2174, 961.55646, 726.2264, , 
133179.774991791, 000057, 0.20237935, 0.25062057, 0.20964661, 0.5927534, -0.030464122, 0.804078, 0.034262136, 1437.2174, 1437.2174, 961.53015, 726.2195, , 
133179.791663916, 000058, 0.20654964, 0.251595, 0.2098396, 0.59352076, -0.03187065, 0.80340344, 0.03550057, 1437.2289, 1437.2289, 961.546, 726.23004, , 
133179.808336083, 000059, 0.21079561, 0.25257844, 0.21000788, 0.59366953, -0.03264143, 0.8032462, 0.03586762, 1437.2441, 1437.2441, 961.4805, 726.2664, , 
133179.825008166, 000060, 0.21511132, 0.25357145, 0.21012811, 0.5933072, -0.03275264, 0.8035152, 0.035735983, 1437.118, 1437.118, 961.4828, 726.2842, , 
133179.841680375, 000061, 0.21959719, 0.25485548, 0.21014431, 0.5934098, -0.033695605, 0.8033709, 0.03639484, 1437.0414, 1437.0414, 961.4768, 726.2688, , 
133179.8583525, 000062, 0.22436848, 0.2559986, 0.2100899, 0.5940047, -0.035388056, 0.8027687, 0.038318884, 1437.3245, 1437.3245, 961.47455, 726.29266, , 
133179.875024583, 000063, 0.22936791, 0.25696048, 0.2100249, 0.5937704, -0.036416672, 0.80282056, 0.039870188, 1437.2748, 1437.2748, 961.4639, 726.27203, , 
133179.89169675, 000064, 0.23454434, 0.2577915, 0.20999703, 0.59345746, -0.03713886, 0.8029719, 0.040803086, 1437.1409, 1437.1409, 961.4854, 726.3377, , 
133179.908368916, 000065, 0.23991051, 0.25848648, 0.21004096, 0.592851, -0.03760725, 0.80338603, 0.041039754, 1437.1753, 1437.1753, 961.4345, 726.35114, , 
133179.925041041, 000066, 0.24551758, 0.25905794, 0.21012603, 0.59148854, -0.037757687, 0.80438495, 0.0409921, 1437.1868, 1437.1868, 961.4207, 726.3577, , 
133179.941713208, 000067, 0.25124747, 0.26007378, 0.21006115, 0.5896903, -0.038142838, 0.805668, 0.04134634, 1437.2098, 1437.2098, 961.43713, 726.3317, , 
133179.958385333, 000068, 0.25730854, 0.26084942, 0.21002404, 0.5880376, -0.03888395, 0.80680394, 0.042037483, 1437.1676, 1437.1676, 961.42755, 726.3399, , 
133179.975057416, 000069, 0.2637728, 0.2612292, 0.21006557, 0.58641493, -0.039673176, 0.8079003, 0.04289984, 1437.2135, 1437.2135, 961.41315, 726.3659, , 
133179.991729583, 000070, 0.2705882, 0.2614013, 0.21014145, 0.5849829, -0.04038321, 0.8088582, 0.043731723, 1437.2211, 1437.2211, 961.4244, 726.3436, , 
133180.008401541, 000071, 0.2777444, 0.26141378, 0.21023978, 0.5839307, -0.041122276, 0.809532, 0.04462936, 1437.2059, 1437.2059, 961.3971, 726.36346, , 
133180.025073875, 000072, 0.2852415, 0.26127243, 0.2103813, 0.58318835, -0.042169955, 0.80994946, 0.045768313, 1437.1984, 1437.1984, 961.4233, 726.36163, , 
133180.041745833, 000073, 0.29314542, 0.26115242, 0.20995232, 0.5827113, -0.043447994, 0.8101569, 0.046962835, 1437.2327, 1437.2327, 961.4204, 726.35, , 
133180.058418208, 000074, 0.3013535, 0.26087767, 0.20970102, 0.5824875, -0.04448366, 0.8102112, 0.047824327, 1437.1943, 1437.1943, 961.42883, 726.3526, , 
